characterName,line
Candace," ♪ Bubble gum, bubble gum, running in a sack. Hop to the finish and don't look back. ♪ C'mon, Dad. Sing it."
Lawrence, I can't remember the words.
Phineas, What to do. What to do.
Candace," Gangway, on your right. One side, coming through. (trips over Perry) (at Phineas) Argh! How many times have I told you to keep Perry out of my way when I'm balancing eggs on a spoon?"
Phineas," Um, never?"
Candace, I would have thought it would have been understood.
Phineas," What the heck are you doing, anyhow?"
Candace, I'm training for this year's father daughter picnic competition. And I'd really like to win for a change.
Candace,"Dad, c'mon! We're not finished practicing!"
Lawrence," I'll be right there, sweetheart, I'm just clearing a spot for the trophy we're going to win today."
Candace," Dad, those trophies are lame. ""Last place?"" ""Nice try""?"
Lawrence," Oh, c'mon, how about his one? First place! (Takes out a trophy)"
Candace," It means ""loser"", Dad. (Makes an L shape with her fingers on her forehead)"
Lawrence," Well, that's not very nice, is it. But look on the bright side, Candace, this year we might take home one just like this. Ta da! (Makes a W with his three fingers on his forehead)"
Candace, Third place?
Lawrence," No, winner. It's a W."
Linda, How are my two favorite competitors doing?
Candace, Ugh. (Leaves)
Linda," Well, I've got a few errands to run. But I should be there by the time the contest starts."
Lawrence," Oh, please try to make it, I think Candace could really use someone cheering her on."
Phineas," Did you hear that, Ferb? I know what we're going to do today! Hey, where's Perry?"
Lawrence, (notices the lair entrance) How peculiar. Anybody there -- (falls through the door and slides down to Perry's lair) Oh.
Major Monogram," Ah, Agent P. (Lawrence gasps and hides behind the hovercar) Doofenshmirtz has been doing some research on the structural properties of glue. It's probably not... (continues under)"
Lawrence," Say, that fellow wearing the dashing fedora looks awfully familiar..."
Major Monogram," Good luck, Agent P."
Lawrence, (gasps) Perry?!
Lawrence," Ooh, I got the feeling I wasn't supposed to see that. (trips on a cable) Ooh! That hurt. (lands in the memory eraser and mumbles)"
Computer, Memory erase sequence initiated. 5% completed.
Isabella," Hey, Phineas! Hi, Ferb!"
Phineas," (he and Ferb are bouncing on something) Hi, Isabella. Come on in."
Isabella, (enters) What'cha doin'?
Phineas," Oh, just trying to generate 40,000 cubic feet of compressed air."
Isabella, What's it for?
Phineas, You'll see in a minute. I don't wanna blow the reveal too soon.
Isabella, Anything I can do to help?
Phineas," We still need some pom-poms, a fog machine, and 372 feet of bungee cord!"
Isabella, (she wrote this down) You got it!
Computer, Memory erase: 95% completed.
Carl," (deactivates the memory eraser) Mr. Fletcher, are you okay?"
Lawrence, Daddy?
Carl," Uh-oh. (sees Monogram try on fake mustache) Major Monogram, we have a situation here. Mr. Fletcher got caught in the memory eraser!"
Major Monogram," Great googly moogly, Carl! This could bring down the entire organization. (straightens his mustache) Get him back to headquarters right away so we can restore his memory."
Lawrence, Dada!
Major Monogram," We can't let the family see him like this, he's got the brain of a toddler. We need to restore his memory before he's missed at the Father Daughter Picnic."
Carl, But that'll take over three hours!
Lawrence, Ah-ha-ha-ha! Dada!
Major Monogram, Better hurry before it's time to change him.
Carl," Sir, I have--"
Lawrence, Da da da da da da da da!
Carl, Will you stop it? I am trying to have a conversation.
Lawrence, (crying)
Carl," As I was saying sir, I may have a solution. (presses a button, opening a garage) Anticipating just this kinda situation..."
Carl," I have been building robot replicas of the Flynn-Fletcher family. We can get Agent P to operate the Mr. Fletcher robot, until we can replace him with the real Mr. Fletcher!"
Major Monogram, W-wait a minute. You anticipated a specific situation like this?
Carl, Yup.
Major Monogram," Wow, that's a little creepy, Carl."
Carl, Yes. (pause) Yes it is.
