characterName,line
Announcer, Flawless Girl. Because nobody's perfect without using our cosmetics.
Candace, (Scoffs) I'd be so lost without Flawless Girl giving me some pointers on how to look.
Stacy," Hey, look! (Flips the magazine) It says here that Flawless Girl founder, Blanca Dishon, will be at the Mid-Summer's Festival in search of the next Flawless Girl spokes-model."
Candace," Maybe I should sign up. (Laughs) Just out of curiosity, when is the Mid-Summer's Festival?"
Stacy, Probably in the middle of summer...which is about now!
Phineas," Oh, what do you know, it must be the middle of summer. (Beeping sound) It's the Baljeet Signal!"
Baljeet," Phineas and Ferb, days ago, you helped me build a portal to Mars. Now, I beg you to help me win the Biggest Watermelon Contest at the festival. Help me, Phineas and Ferb. You're my only hope! (Looks around and then shuts off his hologram)"
Phineas," Ferb, grab that Jr. Chemistry Set you got for Bastille Day. We're going to the festival. Hey, where's Perry?"
Major Monogram," Oh, for crying out loud! Who put a secret entrance at the bottom of the neighbors' koi pond? Okay, look-look-look. To avoid a lawsuit, give the fish hats, and we'll make them agents, and uh... Ooh, right! Agent P, your mission. Um you, know, Doofenshmirtz! Go!"
Phineas," Hey Baljeet, where's your watermelon?"
Baljeet," Yeah, look at it! (Reveals a small watermelon) It mocks me, bringing shame to my family."
Phineas," Ferb, time for a little chemistry. (Ferb walks over to an empty spot, opens his Jr. Chemistry Set and reveals a large chemistry work area)"
Baljeet, Hmm. Could I borrow Ferb sometime?
Candace, Flawless Girl booth...where is it?
P. P. Otter," Hey you, girl! Don't you ever look in the mirror and end up feeling bad about yourself?"
Candace, Well...
P. P. Otter," For just five dollars, you can feel good about yourself for no time!"
Candace," Oh, I don't need that. I've got Flawless Girl cosmetics to make me feel good. (Walks through the festival and sees Phineas and Ferb, who are using the chemistry set)"
Phineas," ...And bada bing bada boom, you've got your miracle growth elixir."
Candace, What are you guys up to?
Phineas, Hey Candace! We're gonna help Baljeet with the Biggest Watermelon Contest.
Candace," (Pointing to the watermelon) What's that, a cantaloupe?"
Baljeet, (Giving himself a facepalm) Aww!
Phineas," Not for long. (Puts a drop of the growth elixir on the watermelon, and it hardly grows larger)"
Candace, (Laughs) It worked! Your miracle growth elixir has turned you into giant nerds! (Walks away)
Baljeet, I will call my family and tell them to start putting up the shame curtains.
