characterName,line
Phineas," You know what, Ferb? This is gonna be the most interesting thing we've ever built."
Ferb, And the tallest.
Phineas," Yes, and the tallest."
Ferb, And the heaviest.
Phineas," Wow, we're chatty today, aren't we?"
Candace," (on the ""phone"") I know, Stace, I can't believe I lost another one! I'll go out of my mind without it!"
Linda," (knocks on the door then opens it) Candace, I've got something for you."
Candace," Stacy, I gonna have to call you back. My new phone is here. (reveals her ""phone"" is actually her hand) Wee! Gimme, gimme, gimme, gimme! (receives her phone) So, how many apps does it run? Can I play MP3s and send texts to Stacy the same time? How 'bout... Hey, wait a minute. All this phone does is...make phone calls!"
Linda," Sorry, Candace. You've lost four phones in four months, so I got you the cheapest replacement I could find. If you lose this one, it's life without a phone for Candace Flynn. (walks away)"
Candace," ""Life without a phone for Candace Flynn""? But...but that's me!"
Phineas, (outside) Fire in the hole! (explosion)
Candace," Phineas and Ferb, will you keep... (trips over a rug and the cell phone falls out of the window) NOOO!"
Candace,"Oh! Well, how about that? It's all right."
Contractor," Hey, kid, where do you want me to leave these ridiculously heavy bars?"
Phineas, Just set them down over there somewhere.
Candace, Not on my phone!
Phineas," On second thought, bring 'em over here."
Contractor," Sure thing, kid."
Phineas, Thanks a lot.
Contractor," No sweat, kid."
Candace, AAAAHH!! It's blinking. Maybe it's still okay!
Contractor," Oh, hey. I need you to sign this invoice."
Phineas, Okay. And here...you go.
Contractor," Thanks, kid."
Contractor," Oh, forgot my pen."
Phineas, Here you go.
Contractor, Thanks kid.
Contractor, It had a cap.
Phineas," Oh, sorry."
Contractor," Take it easy, kid."
Candace," (runs down to the backyard) Oh, no! Phonsie! Oh, what've they done to you? (picks up the phone's debris) Hello? Hello? Can anyone hear me?"
Phineas," I can hear you, Candace."
Candace," Oh, great, it still works. (at the phone's debris) Yeah, Phineas, I was just telling you that...uh! (realizes)"
Phineas," Oh no, is that your new cell phone?"
Candace, It used to be. Wait a second. You guys are good with wires and gadgets and stuff. Can you fix it?
Phineas," Well, it took almost forty years to perfect the technology that makes the modern cell phone possible. So...give us thirty-eight minutes. (at Ferb) Ferb, I know what we're gonna do today, before we do the other thing that we were gonna do today. Hey, where's Perry?"
Major Monogram, Carl!
Carl, What?
Major Monogram," Look, I'm getting messages from some diabolically clever hacker, who goes by the sinister initials ""TTYL""."
Carl," Sir, that means ""talk to you later"". If you scroll down, you can see that message was from me."
Major Monogram," Oh, oh, I see. That's, uh, very clever."
Major Monogram,"Oh, good morning, Agent P. Uh...beat it, Carl. I'm on. (Carl leaves) Sources tell us that Doofenshmirtz's ""ROTFL"". We don't know what that means, but it sounds dangerous."
Carl," Sir, ROTFL means..."
Major Monogram," Not now, Carl. I'm briefing Agent P. (at Perry) So get out there and good hunting. (Perry leaves)"
Major Monogram,"Oh, no! Carl, now it just says q-q-q-q-q-q-q."
Carl, It means your thumb is on the Q-key sir.
Doofenshmirtz," (on the phone) Charlene, now I'm waiting for my exercise show to start, so I can't get Vanessa from class. Well, why can't you pick her up? Well, how long does the surgery take? What about afterwards? Okay, okay. All right, I'll do it. I'll figure something out. Yes, yes, I promise. Good bye. (turns off the phone) Sheesh. Maybe I could build some sort of Inator that would pick her up for me!"
Isabella," Hey, Phineas; Whatcha doin'?"
Phineas," We made Candace the best phone ever! (reveals the phone) What we've done here is revolutionized modern technology. We put all kinds of cool features on it. My favorite is the voice-activated phone transporter app. Show 'em, Ferb."
Isabella," Sure, Phineas. (leaves)"
Buford, She's gone. Let's talk about her.
Baljeet," Focus, Buford."
Isabella, (on the driveway) Ready spaghetti!
Phineas, (to the cell phone) Go to Isabella.
Cell Phone," Isabella, located."
Isabella," Hey, Phineas. Whatcha doin'?"
Phineas, I'm transporting. (to the phone) Go to garage.
Cell Phone," Garage, located."
Isabella, Dang it!
Buford," So, then, Phineas was all like... (Phineas reappears) I'll finish my story later."
Phineas, And that's how it works.
Candace," Okay, Phineas. Thirty-eight minutes is up."
Phineas," But, Candace, you really should see our interactive tutorial."
Candace, The only thing that I wanna see is you later.
Phineas, That was the rim shot app. Are you sure you don't wanna watch the tutorial?
Candace," I'm a teenage girl. Nobody has to teach me how to use a cell phone. Now if you'll excuse me, me and little phonsie-wonsie have to make up for lost time. Okay? Yeah, we do."
Phineas, O-kaay. Let's get back to what we were doing before.
Buford," When we get there, let's talk about Candace."
Doofenshmirtz," Man, it's dark down here. (hits over something) Uh, ohh! Turn on the light, Heinz, you're not a bat. (turns on the light) Hey! It's Norm's old head, the original prototype! I wonder if it still works."
Old Norm Head," (sarcastic) Oh, great, look who's here. It's Dr. Doof-degree-purchased-on-the-Internet-with-my-wife's-money-enshmirtz."
Doofenshmirtz," Well, I must say it's good to hear your voice again, too, after so long! I just came down here to get some parts for my new -inator."
Old Norm Head," Hey, take me with you. I haven't seen you blow yourself up for a long time."
Doofenshmirtz," All right, Mr. Smarty-pants. Come on, let's go."
Old Norm Head," Hey, on the way, let's swing by the store and get you some deodorant."
Doofenshmirtz," Quiet, you."
Candace," (on her new phone) Yeah, so, like, then I like had to go 38 minutes without a phone, and I was like, ""You guys better fix it, or else!"" and they were like, ""Candace, you're the best big sister we've ever had!"" and I was like ""Yeah."" and they were like ""WOOAHEEEHH!"""
