characterName,line
Linda," Candace, honey, I'm going out to a birthday party."
Candace, For who?
Linda, You know Vivian's aunt's sister's landlord's son?
Candace, Evan?
Linda, His son.
Candace, Dexter?
Linda, Yeah. It's his birthday.
Candace, Why do they even have parties for two-year-olds? It's not like they're going to remember anything.
Linda," Baby parties aren't for the babies, Candace. They're for the moms."
Candace, The moms?
Linda, So they can feel rewarded for all the hard work they do.
Candace," (scoffs) Toddlers are easy. They eat, they poop, they sleep. End of story."
Linda," You're a laugh riot, Candace. (starts to leave) Think you can handle watching Phineas and Ferb today?"
Candace, Piece of cake.
Linda, Have fun.
Candace, Hmm. Time to be in charge.
Phineas, So what you're saying is that we should never cut the red wire first.
Candace," Okay, you two, I'm in charge and I'm gonna lay down some rules!"
Phineas," Okay, shoot."
Candace," No leaving the yard, no amusement park rides, no robots, no rocket ships, (in background) no time chairs, no remote-controlled llamas, (onscreen) no first edition issuing of commemorative coins, no asking where Perry is, no astrological planetary alignments..."
Phineas," (While Candace is talking) Ferb, are you getting all of this? (Ferb holds up a miniature tape recorder) Cool."
Doofenshmirtz, Surprise! It's me! I've taken over the OWCA!
Major Monogram," Oh, no, he hasn't, Agent P."
Doofenshmirtz," Aw, spoilsport."
Major Monogram," Doofenshmirtz claims to have given up evil. He even signed this ""I Give Up Evil"" affidavit to apply for work at the agency. And normally, we could have rejected him because he's not an animal, but it turns out he was adopted by ocelots, making him, in the eyes of law, an ocelot."
Major Monogram," Sorry to do this to you, Agent P, but we're making Doofenshmirtz your responsibility during his probation period. Show him the ropes, and, uh, don't let him out of your sight."
Doofenshmirtz," You're probably wondering why I suddenly decided to quit evil and become a good guy. Well you see, I'd just built an inator. I called it the Babe-inator! No, it's not what you think. It's purpose was to transform my brother, the Mayor, and all of his cronies into a bunch of crying babies. That way I could take City Hall like babies taking candy away from... whatever they take candy... Aw, you know what I mean. Anyway, the Babe-inator was ready to go, so I took aim at my brother's office and pressed the button, but it didn't work! It didn't work for, like, the hundredth time! My evil plan did not work! And I thought to myself, ""Maybe I'm just not good at being evil."" That's when I had my epiphany. From now on, I'm going to be a good guy! So, here I am!"
Doofenshmirtz," Wow, my own cubicle. (Agent Kitty joins him and Perry) How nice! I'm gonna put a poster, right here, with a kitten that says, ""Hang in there."" (Doofenshmirtz turns and sees Agent Kitty; chuckles awkwardly) No offense. It's not like I think that's all you guys do, or anything. (Agent Kitty walks off) Oh, great, now he's going to Human Resources."
Norm, Oopsies! Better plug this in!
Candace, And no invisible paint.
Candace," Oh, my gosh. I don't know how you turned yourselves into babies, but that is sooo bustable! (Holds up her phone) Smile and say, ""Hi, Mom!"""
Candace," Now, you two are so... (Gasps) Where did they go? (goes off-screen and Ferb comes on) Come back here! No, put the power drill down!"
Candace, You stay right...
Candace," Ferb! No, get back here with my phone."
Doofenshmirtz," Hey, would you look at that! Newton the Gnu is Agent Silent G. Whoo! I have to blog this. (Notices agents walking by with cups of coffee) Hmm, must be a coffee break. (Computer screen starts blinking saying ""security breach"" and he turns it off without looking)"
Candace, Find the picture and send.
Linda," Oh, they used to be so cute."
Candace," ""Thanks for the old baby picture."" (Sighs) Ooh, wait! I need something with today's date on it. I could take a picture of them with one of those old-fashioned things. It's like a web page with... printed on paper... A newspaper! Ha-ha! (Runs around trying to get Ferb to hold the paper) Okay, stop and hold the paper. Ferb, sweetie? Okay, just stand here and... No! No, don't run away! Wait! Hold it! No, no, no, no. Get back here. How about if we just sit? Then hold the paper. (Ferb throws it) We don't... We... No, don't throw it. Wait! (Candace gives up on Ferb and goes to Phineas) Okay, just hold this. Stay."
Phineas, Gah! (Throws the paper)
Candace," Phineas, no! No throwing. (Phineas crawls to her phone) We use our... (Phineas licks her phone) Ew! (Phineas throws it and it hits Candace) Ow! (Candace tries again on Ferb) Okay, hold this, Ferb. Now, I'll just... Where's my phone?"
Phineas, Gah! (Throws her phone into a bird bath)
Candace," Okay, fine! Okay, if pictures won't work, I'll just take you to Mom myself! I know we have an old stroller around here somewhere. (Candace finds a stroller and straps in Phineas and Ferb and they fall asleep) That's it, go right to sleep. You'll be busted in just a little bit."
Doofenshmirtz," So then, the duck says, ""got any grapes?"""
