characterName,line
Phineas," So, Ferb, what do you wanna do today?"
Phineas," What about Perry, what does he want to do?"
Phineas," Well, he's a platypus, they don't do much. I for one, am starting to get bored, and boredom is something of up with which I will not put! The first thing they're gonna ask us when we get back to school is ""what did we do over the summer?"". I mean, no school for three months. Our life should be a roller coaster! And I mean a good roller coaster, not like that one we rode at the state fair."
Fair Worker, Please exit to the left.
Phineas," Man, that was lame. Why, if I built a roller coaster, I would... (Gets idea; angelic chorus plays) That's it! I know what we're gonna do today!"
Linda," Phineas, Ferb. I'm gonna pick up a few things. You boys stays out of trouble, okay?"
Phineas, Okay mom. (At Ferb) We're gonna build a roller coaster!
Candace," I'm in charge, right? You did tell them I'm in charge?"
Linda," Relax, Candace, nobody has to be in charge."
Candace, But what if there's a emergency?
Linda, Like what?
Candace, What if a... What if a satellite falls out of orbit and crashes into the house? (smiles)
Linda," If that happens, you're in charge."
Candace, Yes!
Candace," (she enters into the backyard) Mom says I'm in charge, conditionally."
Phineas, Whatever.
Candace," Wait a minute, what are you doing?"
Phineas, Homework.
Candace, It's summer.
Phineas," That's cool, you wait till the last minute then."
Candace," Well, I'm watching you. (Goes through the door) And I'm in charge, conditionally!"
Candace," Hello? Oh, hi, Stacy! No, I can't get to the mall right now. Mom just went to the store, she left me in charge, well, you know, conditionally. (Phineas and Ferb walk past with lots of wooden planks) And if you go, can you see if Jeremy is there? No, no, he's the cute one that works at Mr. Slushy Burger. (Phineas and Ferb walk past again, with steel beams) Yeah, he totally smiled at me the last time I was there. I just about died. No, I told you I can't, I'm watching my brother and step-brother. (Phineas and Ferb walk past with sinks and toilets) Yeah, and they never get into trouble, 'cause Mom never catches them. One of these days though, I'm going to see that she catches them red handed. (Phineas and Ferb walk past again, with a flamingo and a lion that roars loudly.) Will you hold it down, I am trying to use the phone! (at Stacy) Mom left me in charge, so there will be no shenanigans today. What are doing right now? Why do you ask? What do you mean you can see it from your house? See what?!"
Candace," Phineas, what is this?!"
Phineas, Do you like it?
Candace," Ooh, I'm gonna tell Mom, and when she sees what you're doing, you are going down. (runs off) Down! Down! Down! D-O-W-N, down!"
Phineas, We're gonna need a blowtorch and some more peanut butter.
Isabella," Hey Candace, is Phineas... home?"
Candace," Down, down, I say!"
Isabella, (hearts in eyes) Hey Phineas.
Phineas, Hey Isabella.
Isabella, Whatcha doin'?
Phineas, Building a roller coaster.
Isabella, In your backyard?
Phineas, Some of it.
Isabella, Wow. Isn't that kind of impossible?
Phineas, Some might say.
Isabella," Hey, Ferb. (Ferb waves with the hammer.) Does your step-brother ever talk?"
Phineas, Ferb? He's more of a man of action.
Isabella," I was gonna go to the pool, you wanna go swimming?"
Phineas, Kind of in the middle of something here.
Isabella," Oh, right. Okay, I'll see you later then. (leaves)"
Phineas," Okay. (at Ferb) Hey Ferb! You got enough rivets up there? (Ferb gives a thumbs up showing they have rivets.) Hey, where's Perry?"
Major Monogram," Good morning, Agent P. The evil Dr. Doofenshmirtz is up to his old tricks. For reasons unknown to us, he bought up 80% of the country's tin foil. I want you to get over to his hideout right away. Find out what he's up to and put a stop to it. As always Agent P, it is important that your cover identity as a mindless domestic pet remains intact. Now, get out there. We're all counting on you."
Phineas," So, the way I see it, the fuel rockets kick in at the mall's parking lot, then we release the snakes during the corkscrew at the interstate. I'm gonna go get the snakes."
Candace," Mom! You gotta come home, right now."
Linda, Did a satellite crash into the house?
Candace," No, no, no. You gotta see what Phineas and Ferb are doing."
Linda, Seems like we've had this conversation before.
Candace, What do you mean?
Linda," I seem to recall you telling me that the boys were training monkeys to juggle bicycles, and when I come home, there was a stunning lack of monkeys."
Candace, I still don't know how they cleaned that up so fast.
Linda," So, what's the emergency this time?"
Candace, They're building a roller coaster!
Linda," Candace, seriously, isn't Phineas a little young to be a roller coaster engineer?"
Factory Manager, Aren't you a little young to be a roller coaster engineer?
Phineas," Yes, yes I am."
Factory Manager," Well, I must say, I'm very impressed, the forms all seems to be in order, although I'd never seen them filled out in crayon before. So, if there's anything I can get you, anything at all, just let me know."
Phineas, Do you think we could borrow one of those gadgets?
Phineas," Now, this is the life."
Doofenshmirtz," Ah, Perry the Platypus, what an unexpected surprise. And by unexpected, I mean: completely expected! (Doofenshmirtz presses a button, which activates arms that grabs Agent P.) I, Doctor Heinz Doofenshmirtz, have covered the entire eastern seaboard in tin foil, and when I put my giant magnet, next to my genius, Magnetism Magnifier, I will pull the East, in westerly direction, thereby reversing the rotation of the earth. You may ask yourself, why would he do this? What could he possibly have to gain? Well, let me just answer that question, I haven't really worked on all the bugs yet. I mean, tin foil alone costs a lot."
Candace," But Mom, I'd tell you, they're building  it, and it's huge! (Ferb puts up a poster, Candace comes over to read it.) ""Phineas and Ferb present the Coolest Coaster Ever now open""? Mom! (runs off)"
Pedro, Phineas and Ferb got a roller coaster? You think we get a discount if we bring the flier?
Another kid, Maybe we better take it.
Candace," (Gestures toward the empty post, head turned away) There, look, look, look, see? I told you I'm not crazy, I told you!"
Linda," (dryly) And you're not crazy because...? (Candace turns toward the post where the poster was and screams.) I see your point, Candace. No crazy person would scream at a post like that. I'll be at the dairy section if you wanna come yell at some cheese, or anything. (leaves)"
Phineas," Ladies and gentlemen, boys and girls, children of all ages! May I present to you a spectacle most of the morning in the making: The Coolest...Coaster...Ever!!! (Ferb reveals the coaster. A bird files into it.) So, who wants to go first?"
Phineas," To fasten, insert the tab into the metal buckle. To release, just pull back on the -- oops. (Phineas drops the safety belt.) Well, you get the picture. Well, that's about it, enjoy the ride. (The car goes over the top, and stops, viewing the long drop.) You guys all signed the waivers, right? (Down it goes; the car goes around the coaster, on the track. Everyone screams.) (Going through the drop of snakes) Relax, they're just rubber! (The car goes into a bucket of mud, then exits. Later, it goes through a car wash, to be cleaned from the mud.) Hey, look, there comes the AH-AH-AH-AH! (The track is going up and down repeatedly, creating four ""AH""s.)"
Doofenshmirtz," ...I really make of my money back, I-I-I want a really spacey real estate, and sell it again."
