characterName,line
Lawrence, (from inside) Nice to see you boys down here at the shop!
Phineas, Wow! What's that thing?
Lawrence," Oh, this? It's an escape chamber from an old vaudeville show. In the old days, men would go into these things and pretend to be locked inside and then they would ""escape"" to the amazement of the crowd. Here, let me show you. (goes inside the chamber) You see? All you need to do is just... (tries to escape) Uh.... Hmm..."
Phineas," You need a little help, Dad?"
Lawrence," Well, no, no, I just need to, um... Oh! (Ferb helps him out) There we go. Thanks, son."
Lawrence," Well, I've got bottle caps to polish. (walks away) Hmhm!"
Phineas, (at Ferb) Dude! I know what we're gonna do today!
Linda," Oh, no. I'm late for my introduction to ice sculpture. (Writes a note and goes outside to Candace sleeping on the hammock) I suppose there's no need to wake her. (puts the note on her head, then leaves)"
Candace, (snoring)
Candace, (mumbling in sleep) Where's Perry?
Carl, And the salad fork is the one on the outside.
Major Monogram, (holding a clipboard and pen) And you're certain of that... (Perry's chair slides forward) Ah! Agent P!
Major Monogram," As you may know, this is International Good Manners Day. Perhaps, not ironically, Dr. Doofenshmirtz has chosen this very week to create a device that causes rampant rudeness. Go take care of it."
Major Monogram, If you please.
Carl, (while Perry leaves his lair) I bet he calls it the Rude-inator.
Major Monogram, What does that make you? Nostradamus?
Phineas," Ladies and gentlemen, boys and girls! My brother and I are here today to give you a thrilling display of escapement arts as we attempt, to extricate ourselves from this,..."
Phineas, ...the most complicated trap ever devised by man or child! A computer controlled tower so fiendishly clever that...
Phineas, ...its blueprints had to be viewed in a smoked mirror to avoid driving its creators insane!
Isabella," Wow, he's really selling it hard."
Baljeet," But if you designed the tower, will you not know every way to get out?"
Phineas," (taps tower with cane) We programmed it to learn as it goes, so it's conceivable we could be trapped in there forever. (taps tower with cane again) Coming with?"
Isabella," Yes! I mean, no./Baljeet: No!"
Isabella/Baljeet, No.
Buford, It sounds ill-advised.
Phineas, That's okay. You guys can stay out here and be the cheering section with Candace.
Candace, (snoring) Must bust Phineas and Ferb.
Baljeet, But what if you do not come out?
Phineas," If we're not out in 15 minutes, you can smash the machine and rescue us, just like in the old days."
Buford, (brings out mallet) Sounds like a party.
Phineas, Ferb? Start the timer please!
Buford, Synchronizing watches!
Phineas," (he and Ferb walks onto an elevator) Women and children and the faint of heart may wish (pushes button with cane) to leave now. (as the elevator rises up) So we bid you adieu! Goodbye! Auf wiedersehen! Farewell, friends!"
Phineas, And we'll see you in a few minutes! Or not at all!
Baljeet," Legally speaking, what is our liability here?"
Doofenshmirtz," A-ha! I wanted to say something clever about ""cat got your tongue"", but I haven't worked it out. You see, when we were small children, my brother Roger was always better at the whole manners and etiquette thing."
Young Roger," Sweet Aunt Effie, you have always been my favorite!"
Aunt Effie," (pinching young Roger's cheek) Roger, so polite. (hands young Roger a coin) Heinz?"
Young Doofenshmirtz, That's some mole!
Doofenshmirtz," (sighs) It takes a long time to clean out a chicken coop with a spoon. And I still don't see how that was rude. I mean, that thing was gargantuan. If anything, I was showing restraint. Anyway, today, it is International Good Manners Day, and we've got a visiting dignitary. She's the ambassador from England! Only the most etiquetty country in the whole world, hello! And when Roger's introducing her I'm going to zap him with my Rude-inator!"
Doofenshmirtz, That's what I'm calling it.
Doofenshmirtz," It makes whoever it zaps intolerably rude! He'll cause an international incident! And in all the confusion, I'll just waltz in and take over. So, why the catsuit? Well, we're going to be at City Hall to watch the fireworks, you and me, and I figured a platypus in a fedora might attract too much attention! Smart, huh? (walks away with a smug look) See, me, always thinking."
Phineas," Good day to you, Tower. We're ready to begin."
Tower," Welcome, boys. We're gonna have so much fun together. (puts strait-jackets on the boys) Put on your coats and stay a while."
Phineas, Strait-jackets. Classic. Ready?
