characterName,line
"Phineas, Ferb and Candace", Trick or treat!
Man," Well, now, would you look at this, Martha? We've got Frankenstein, Count Dracula, and some kind of Igor, or something."
Man, And if it isn't little Candace Flynn! Where's your costume?
Candace," ""Where's your costume""?! I haven't worn my hair like this in 2 years!"
Phineas," Get with the Halloween spirit, Candace!"
Candace," Please. Trick-or-Treating is for kids. I'm like, way mature than that. I'm walking with you until we get to Jeremy's, and then I'm outta here."
Buford," There you are. I thought we'd never catch up. Goin' old school this year, I see. Sweet. No costume, huh, Candace?"
Candace, (Growls)
Phineas, Nice fairy princess costume! Where'd you get it?
Isabella," Actually, I'm not wearing a costume."
Phineas," Oh, okay."
Isabella, I got it at the Googolplex Mall.
Buford," What kind of person hands out these weird, orange peanuts? We gotta find a better neighborhood."
Phineas, That's strange. I've never seen this place before.
Phineas,You'd think we would've noticed it.
Buford, I'm gonna give those orange peanuts a second look.
Phineas, What's that?
Boy," (Flips flashlight switch) Hi, I'm Russell. I live here."
Isabella," Oh, Russell, like the leaves."
Buford," What are you trying to do, scare us?"
Russell," No. Hiding in the leaves makes me feel warm and secure. (Ominous violin) Well, relatively speaking."
Baljeet, Why do you not just go inside?
Russell, In there? It's haunted!
Phineas, Cool!
Russell," No, not cool! The horrifying screams, moving shadows, floating objects, ghosts, zombies, vampires. It's really freaking me out, man!"
Buford, The light under his chin makes his story pretty convincing.
Baljeet," Actually, there is no scientific evidence for the existence of ghosts."
Buford, What do you know? You're a daffodil!
Baljeet, Daisy!
Buford, Case closed!
Phineas," Maybe we can help you, Russell. Got anything for ghosts, Ferb?"
Phineas, Whoa. Looks like we're in business! Let's bust us some ghosts!
Candace," Hold it there, fella! Nobody's doin' any busting around here without me!"
Phineas," Sure, we'll all go! Coming, Russell?"
Russell, If I have to.
Candace," Oh, please."
Russell," Oh, this always happens."
Phineas, Don't panic anyone!
Isabella, How can I panic when I'm holding your hand?
Buford, I think that's my hand.
Isabella, Ew!
Baljeet, Hey! (Turns on the flashlight under his chin; ghostly voice) Wheerrrre is Perrrrrryyyyy?
Buford," Quit it, Baljeet!"
Carl," (Dressed as Major Monogram, Mimicking his voice) Hello, Agent P. Welcome to the Company Halloween Party. Try the punch, it's wicked good. Just be sure to use a coaster. Certain people can be downright persnickety. (Normal voice) Psst, Agent P, it's me, Carl! Had you fooled, didn't I? I've got the monobrow, the whiskery mustache, but I couldn't get both my eyes on the same side of my nose. He's like a Picasso, or something."
Major Monogram," (Dressed as Carl) Where is your coaster, Carl?"
Carl," Sorry, sir."
Major Monogram," What do you think? Nice costume, huh? My lip feels so naked. (Clears throat) Sorry to interrupt the festivities, but we've been receiving some weird intelligence. The Danville Golf Course's been chewed down to bare dirt, strange howling to the moon, graffiti at every leather shop the Tri-State Area. And, we don't know what to make of this crop circle. Get to the bottom of it, Agent P!"
Carl," (In Monogram's voice) ""Get to the bottom of it, Agent P!"""
Major Monogram," That's not how I sound, Carl!"
Carl," (In Monogram's voice) ""That's not how I sound, Carl!"""
Russell," Come on, most of the ghosts are this way."
Candace," Good, let's bust them and hit the road. I'm missing Jeremy's party!"
Baljeet," Ghosts, there's no such thing. Look! My EMF readings are three milligauss. Normal background radiation. And when we point it at the room, it is also... Well, that cannot be right."
Phineas, 78? Did we even make these things with double digit displays? (Jack-O-Lantern rises and grows a body) Um...
Jack-O-Lantern, Aren't you a little young to be hunting ghosts?
All but Ferb," Yes!! Yes, we are!!! (Screaming, they turn and run)"
Russell, It's totally like this all the time!
