characterName,line
Linda," Good morning, sunshine! What's your plan for today, besides, of course, padding up my cell phone bill?"
Candace," I've got nothing. Every day, I wear myself out trying to bust the boys and always blows up in my face. (throws some milk on a cat) I'm gonna take a day off from exploding face. Today is for me time."
Linda, I'll believe it when I see it.
Phineas," (seeing a poster on a wall) Wow, I don't remember seeing this before!"
Lawrence," Cool, isn't it? I was inspired to put it out of storage after my well... (clears throat, whispers) ...my close-encounter."
Phineas, Close encounter?
Lawrence," Oh, yes. You've heard about the Danville crop circles, I suppose?"
Isabella, They've been appearing in fields all over Danville! Some people think they're made by spaceships!
Buford, I don't believe in spaceships!
Isabella," But, Buford, you've been in a space ship. Several, actually."
Buford, I'm a skeptic!
Lawrence," As was I until the other night, when my motorcar began behaving oddly. Suddenly, I saw a terrific flash of light. I was inexorably drawn to it and to escape its irresistible magnetism"
Phineas, What happened then?
Lawrence," Well, it turns out it was just a tow truck driver I called. He changed my battery, and I was off!"
Isabella," So, it had nothing to do with crop circles or UFOs?"
Lawrence," Yeah, but I do think they're cool, hence the poster. (leaves)"
Buford, His words confuse me.
Phineas," Dad can be like that. But, nevertheless. I know what we're gonna do today: We're gonna solve the mystery of the Danville crop circles. Hey, where's Perry?"
Major Monogram," (while holding a puppet version of himself, singing to the tune of ""This Old Man"") ♪ Agent P, ♪"
Major Monogram,Ohh... Could you just leave? This is really embarrassing.
Phineas," (as he and the others work) Hi, Candace!"
Candace," No, no, no! No busting today, Candace. (changes channel) It's just gonna blow up in you face. Taking a me day."
Perry, (flies in and gets trapped in a chef's hat)
Doofenshmirtz," Aw, look how cute you are! All snug in your cozy widdle trap. (chuckles) Why the chef's hat you ask? It's the cheapest way I could find to trap you. Hey, times are tough waiting for my alimony check!"
Doofenshmirtz,I have to watch every penny. And the 37 minutes are free deal from the local pizza guy could really make a difference.
Pizza man, (knocking)
Doofenshmirtz," (whilst slowly gliding his feet along the door, constantly checking his watch while doing so) Just a second!"
Pizza man, (continues knocking)
Doofenshmirtz, Coming!
Pizza man, (continues knocking)
Doofenshmirtz, (continues gliding feet) Almost there!
Pizza man, (knocks)
Doofenshmirtz, (opens door)
Pizza man," (holds out hand, in a fashion of asking for money)"
Doofenshmirtz," Can you belive he made me pay, anyway?"
Doofenshmirtz,I vowed revenge. Cheap revenge. My first plan involved exploding pizza dough.
Doofenshmirtz,"But you know what? He turned it into a special! He actually charged more for it! And that is why I created... (removes lab coat sleeves) ...the Dough-Blow-Inator! You wear it! (lab coat falls off) You see, this baby generates a powerful current of air which can hold pizza aloft indefinitely! Ha-ha! So now, I will challenge pizza boy to a pie-spinning duel at the Pizza Day Festival in Danville Park today. I'm gonna humiliate him in front of tens of people! And you are gonna have a front row seat. (puts hat on) Plus, you really complete the look."
Phineas," If we're going to solve the mystery of the Danville crop circles, we'll need a bird's-eye view."
Isabella," So, why not a hot-air balloon, or a helicopter?"
Phineas, I like to stay on theme.
Isabella," Oh, good idea."
Baljeet," So, Buford, we are literally sitting inside a flying saucer. Do you still not believe in it?"
Buford, I'm sticking to my guns on this one. It's a matter of principle.
Phineas, Crop circles have been sighted all over the Tri-State Area this summer. Let's get a view of each of them and see if there's a pattern.
Farmer," (takes picture of UFO with cell phone) Huh, I know I wasn't crazy! (to ""Bob"") Oh, yeah? Well, no one asked you, Farm Utensil Bob!"
Isabella, There's the next crop circle up ahead/
Buford, So you say.
Phineas," You know, you can see them too, Buford."
Buford, My skepticism is boundless.
Baljeet, It is the same design as the others.
Phineas, Maybe they're trying to tell us something.
Baljeet," That they really like that symbol, apparently!"
Phineas," There must be some sort of pattern. Ferb, let's go to the next one!"
Citizens," What is that?! Oh, my gosh! It's an invasion!"
Man, You truly are the most remarkable woman I've ever met in my life...
Candace, Candace.
Woman, And you are every woman's dream...
Candace, Jeremy.
Man," Why, I love you--"
Oshinomi, We interrupt our regularly scheduled program to go live to our correspondent Gordon Gutsofanemu.
Gordon Gutsofanemu," I'm standing in downtown Danville where the recent rash of crop circles has caused quite a stir. But today, something more: an actual sighting of a UFO!"
Random guy," There were these creatures! One had this crazy triangle head and the other looked like a sideways ""T""!"
Gutsofanemu, Sounds horrifying!
Random guy, It was! They don't look human at all!
Gutsofanemu," No. No, they don't. Who are these invaders? What are they doing here? What is the meaning of these crop circles? Why can't I time my barbecue right? (in background) Either I'm waiting an hour when they're supposed to heat up, or they're already past their peak when I bring out the steaks."
Candace," I gotta call Mom! They're gonna be so... Oh, no, they don't! I'm taking a me day!"
Pizza Guy," (Italian accent) Hey, everybody, she got-a free pizza? (audience cheers) Hey, look-a what you see! It's a dough-osaur! Ha hey! The Leaning Tower of Pizza! Ay? Everyone having a good time?"
Doofenshmirtz," No! No, we're not! We're having a rotten time, you stingy jerk!"
Pizza Guy, Why you-a callin' me these bad guy things?
Doofenshmirtz," Because you cheated me! 37 minutes or free! That was the deal! And 38 minutes later, you welched on it!"
Pizza Guy," But I would-a never! Wait-a one second! You are the guy who set up-a the traps to slow me down, yes?"
Doofenshmirtz," Yes, I have traps, but th-they weren't necessarily for you, y'know, specifically, but... Look, enough of your excuses! I challenge you to a dough duel!"
Pizza Guy," (using his dough as a grass skirt while doing the hula) A dough duel, eh? I accept-a your challenge! If you win, I give you-a free pizza for life! But if I win, you no order my pizza ever again!"
Doofenshmirtz, Deal! I don't want your stupid pizza anyway. (Perry struggles to get out of the trap.) Don't bother! Chin strap!
Phineas," Well, this is the last one."
Isabella, But we still don't know what it means.
Phineas, Maybe we need to get a fresh take on this. (to Baljeet) Bring up the crop circle map.
Phineas, That's it!
Baljeet, I do not see anything.
