characterName,line
,"The scene opens at night in Danville. Phineas and Ferb are sleeping; Perry suddenly crawls away from Phineas and sleeps beside Ferb. After he settles down, preparing to go back to sleep, Perry's wristwatch communicator glows, signaling a code red emergency. He tries to sneak away but Ferb immediately seems to notice so Perry quickly sticks a log under his arm instead. The camera switches to Candace, downstairs, carrying a glass of milk."
Candace," Ugh, no more peach and pumpernickel sandwiches before bed."
Candace,Candace trips over Agent P
Candace, (She looks back) YOU!
Candace,"Perry, back in his pet mode, chatters. Candace picks him up and puts him outside"
Candace," For an animal that doesn't do much, you sure know how to make a mess of things!"
Candace,"After Candace leaves, Perry puts on his fedora again before mimicking Candace. He then heads to the stonewalk and enters to his lair."
Major Monogram," Good morning, Agent P. I've got bad news and good news. The bad news is, you're being reassigned to a new, more evil villain. His name: The Regurgitator."
Carl," You keep pushing him down, but he keeps coming back up!"
Major Monogram," That's not funny, Carl. That's just disgusting."
Carl, You laughed earlier!
Major Monogram," It was a pity laugh. Anyway, Dr. Doofenshmirtz had to be downgraded to minor threat status and just assigned Agent S to his case. The good news is you've been relocated away from your own family to this new family in the Quad-State Area."
Major Monogram,Perry looks on with a shocked look on his face.
Carl," (whispering) It's the other way around, sir."
Major Monogram," Oh, yes, yes, of course. The bad news is the relocation, and the good news is the new villain thing. Uh...just make sure you take your belongings from the house when you leave."
Major Monogram,"The following morning, Candace is eating cereal at the table with a bored look on her face. Phineas and Ferb walk up and Phineas looks a bit sad"
Phineas," Good morning, Candace."
Candace, What's so great about it?
Phineas," Not much. We can't find Perry anywhere. He's never missed breakfast, not even once."
Candace," Uhh, you don't think he could've argued with someone, let's say... 3:38am, got his feelings hurt and ran away, do you?"
Phineas," Nah, he never would've gone outside on purpose. Everybody knows that platypuses are supposed to stay inside at night. You haven't seen him anywhere, have you?"
Candace," (nervously) Well, maybe he just wandered off. Doesn't he always wandered off in some point of the day? A-And later, when he comes back, you say, ""Oh, there you are Perry"" and he says, (She tries to mimic Perry's chatter)"
Phineas," Yeah, but he's always here in the morning. I'd be devastated if something happened to him."
Phineas,The camera switches to outside the kitchen window where Agent P is watching the scene. He looks from his food bowl back to Phineas and the others sadly before he uses his jet pack to leave
Phineas,At Doofenshmirtz Evil Incorporated
Phineas,"A door bell is heard and Doofenshmirtz walks over, clad in only a towel"
Doofenshmirtz," Hold on, I'm coming!"
Doofenshmirtz,He opens the door and a gift basket is sitting in outside the door
Doofenshmirtz," Another gift basket? (He takes a card off of it) ""We regret to inform you that due to The Regurgitator's recent evil behavior, you've been downgraded to a minor threat. If you believe this to be a mistake, please fill out the included..."" A minor threat?! The Regurgitator. Ugh, there's a lot of weirdos out there. (He goes to his computer and types on it) Oh, here we go. He has his own blog. (He reads) ""The World's Most Evil Villain""?! Who does this self-stand-in think he is? It's time to show him who's boss. (He rushes off screen and the towel is laying on the floor, his head appears with a nervous smile as he quickly picks it up.)"
Doofenshmirtz,Back in the Flynn-Fletcher backyard
Phineas," All right, Ferb. Activate the Platy-tracker 3000. If Perry's anywhere in Danville, this'll bring him home."
Phineas,"Ferb activates the Platy-tracker. It mimcs Perry's chatter and a huge crowd of Platypuses (Platypi, Platypeople) suddenly arrive in the backyard"
Phineas, Wow. I didn't know there were so many platypuses in Danville.
Phineas,Doofenshmirtz arrives at a run-down motel in a truck
Doofenshmirtz," Geez, what a dump!"
Doofenshmirtz,He enters the motel
Doofenshmirtz," (mockingly) So much for Mr. Bigshot Super Villain. (He walks over to the man at the front desk) Uh, yeah hi. I'm looking for someone named Mr. The Regurgitator."
Doofenshmirtz,"The man clicks a button, revealing an elevator. Doofenshmirtz heads down to the lab, where he sees a ""do not push"" button"
Doofenshmirtz," ""Do not push,"" hmm..."
Doofenshmirtz,Doofenshmirtz stares at it for a few seconds before he pushes the button and is sucked into a vacuum tube. He lands hard on the ground
Doofenshmirtz," Oh, my Heinz' hiney! Look at this all this technology, a giant vacuum tube, and they can't afford a throwpillow? (He sees a man nearby) Oh, hello"
The Regurgitator, I am The Regurgitator! (The lights flash like lightning while thunder and dramatic music is heard)
Doofenshmirtz," Well, okay. My name is Heinz Doofenshmirtz. (He pauses) Tadaa! Oh, I'm sorry, I don't know how to--where are those lights coming from by the way when you do that?"
The Regurgitator, You're that disturbed lunatic from Danville.
Doofenshmirtz," Oh, you've heard of me?"
The Regurgitator," Yes, and you've heard of me! (The thunder and lightning happens again)"
Doofenshmirtz," Seriously. Where's that coming -- Oh, look, you've already captured Perry the Platypus! My, you do work fast."
The Regurgitator, Why don't you fill up these forms and I'll consider you for a three-year internship. (He hands him some papers before walking away)
Doofenshmirtz," I am not here to apply for an internship. Oh, you offer maternity leave!"
The Regurgitator," You can start by making a fresh pot of coffee! (Thunder, lightning, and dramatic music happens again)"
The Regurgitator,"Back in the backyard, Ferb holds up each platypus to Phineas, who explains why it's not Perry."
Phineas," No, Ferb. Not Perry; this little guy's eyes are too close together and his beak is orange, Perry's is more of a tangerine. Nope, too fat. Too thin. Too cartoony. Whoa, that one smells like meatloaf!"
Phineas,With Candace in town
Candace, Perry! Perry the Platypus! Huh?
Candace,A platypus tail is sticking around a nearby corner
