characterName,line
Candace," (on phone) I'm totally sunk, Stace! I've been working on Jeremy's birthday present for months, but it's not even close to as good as I want it to be. (Cut to reveal she's working on a popup book showing their first kiss.) Ugh! Lame!"
Stacy," Oh, come on, Candace. You're overthinking this. (The cashier puts a watermelon on the tread.) Jeremy'll love anything you make. What's your worry?"
Candace, I just wanna do something really special to show Jeremy how much I care. Something way over the top! Something that defies the laws of physics and excedes the boundaries of the imaginatio— (realizes what she's talking about) Oh no.
Stacy," Oh, yes."
Candace, No no no no no! Anything but that!
Stacy, You're going to have to ask for help from...
Candace, Phineas and Ferb. (Puts her head in her hand like she has a migraine.) Uggggh.
Phineas," Well, now that we've ironed out the bugs in our fusion-powered popper, the popcorn is nice and fluffy...and no longer glowing, so we're good to go. (Candace comes in mumbling under her breath.) Uh, what's that, Candace?"
Buford," Lemme talk to her, guys. I speak sullen."
Buford, Candace messed up and now Jeremy's birthday is ruined.
Candace, Hey!! You completely misinterpreted what I said!
Buford, Nuance.
Phineas," So what's goin' on, Candace?"
Candace," (sighs) It's Jeremy's birthday and I wanna do something really special to show I care and you guys are good at doing, you know, what you do, and, well, all I have is this scrapbook and I don't wanna blow it so can you help me, huh? (gives Phineas the book)"
Phineas," Wow! This is great! It's like a blueprint! Ferb, I know what else we're gonna do today!"
Candace," Great! Start workin' your magic and, no pressure, but it's gotta be PERFECT!!!"
Phineas, We'll do our best!
Candace, (mumbling) Thnk yu.
Buford," Oh. She said, ""Where's Perry?"""
Candace, You have got to work on your sullen!
Major Monogram," Hey, there, Agent P! Well, it's Horrific Movie Night at my house where a bunch of agency guys get together and make fun of ridiculously bad movies."
Carl, He's always the guy shushing everybody.
Major Monogram," Well, there's a time for fun and a time to pay attention."
Carl, Pfft.
Major Monogram," Anyway, Agent P, when we went to rent tonight's horrific horror classic, Night of the Living Torso, it was already gone. In fact, all the movies within the horror genre throughout Danville have been checked out, which is definitely a bummer, and could possibly be evil. Go check on Doof and see if he's bogarting those movies...uh, before 6:30 if possible. (Agent P raises his arms up, and a pair of mechanical arms give him his jet pack. He blasts off.)"
Linda," Candace, I'm headed out."
Candace," (trying to not sound suspicious) Okay, Mom."
Linda, What's with the box?
Candace," Oh, uh, nothing. I just wanted to see what this stuff looked like outside."
Linda," Candace, is this a ploy to get me to go outside to see what the boys are up to?"
