characterName,line
Stanky Dog," (on radio) Good morning, Danville! Excitement's in the air today as we await the announcement of the Paisley Sideburn Brothers' first concert visit to the Tri-State Area! Phone lines are clogged and web sites are crashing as local music fans try to get first crack at the hottest concert tickets of the decade!"
Candace, Must...get...tickets...
Candace," Zzzzzzzzzzzz... (She takes her head out of the keyboard to reveal many keys in her face. They pop out to the music of ""Shave and a haircut, two bits"". She spits two keys out of her mouth.) Oh, still not on sale! (A crash is heard) What the?!"
Candace," Hey, isn't it a bit early to start building another crazy contraption?"
Phineas," What, this? We're still cleaning up from yesterday. It's funny, the cleanup usually takes care of itself, but we've been working all night on this one. (A recycling truck comes to take the dumpster.) That's the last of it, guys! Thanks! (to Candace) It was our biggest project ever! How could you miss it?"
Candace," I was kind of busy. (Her phone rings. She zips inside and picks up.) Stacy, what's up?"
Stacy, (on phone) AAAAAAAAAAAAAAH!!!! My ticket is in row R!!!! Close enough to smell them!!!!! What did you get?!!?
Candace, Ticket? How'd you get a ticket?
Stanky Dog," That's right, folks! Unless you've had your head stickin' out of a window, you know those tickets just went on sale and sold out in 13 seconds flat!"
Candace, Sold out?
Stanky Dog, That's right! Sold out! But you still might be able to catch this special added benefit concert tonight at the Fireside Girls Jamboree!
Candace," Okay, I still got a chance! What the heck? ""FIRESIDE GIRLS ONLY! PLEASE ENTER YOUR PATCH #""? (types frantically) Gotta guess the right numbers. Gotta guess the right numbers. ""YOU HAVE EXCEEDED YOUR LOG-IN ATTEMPTS""? No, you've exceeded your log-in attempts!! PHINEAS!!!!!"
Phineas," Yes, Candace?"
Candace," Your little friend, Isabella, she's a Fireside Girl, right?! What's her patch number?!"
Phineas, I'm not sure. But I can ask her when she gets back from her meeting at the Fireside Girl lodge.
Candace," Lodge, huh? C'mon, you're takin' me down there. Now!"
Ferb," Hey, where's Perry?"
Major Monogram," Morning, Agent P. We're not sure what Doofenshmirtz is up to, but we're sending you to his lab. (Puts on a pair of safety goggles) And we're using this new transporter device we've been working on. It's not approved for testing on humans yet, so you get to try it out first. (Perry gets a worried look on his face.) Good luck, Agent P. Carl, fire it up!"
Isabella," (offscreen) Yes, it's true that the Paisley Sideburn Brothers tickets (cut to inside the lodge) can only be ordered by an active-duty Fireside Girl. But if you just want to—"
Candace," Tell you what, I'm joining up! (slams her hand on the podium) Set me up, sister!"
Isabella, Okay. I hereby nominate Candace Flynn into membership in the Loyal Sisterhood of Fireside Girls.
Katie and Ginger, I second! Jinx! (they giggle)
Isabella," Alright, girls, come to order. (to Candace) Now, just fill out this application, read the training manual, sign the insurance waivers, and you can be sworn in at our meeting next week."
Candace, Next week?! But that's too late!
Isabella," I'm sorry, but the traditional procedure comes straight from the Fireside Rules of Order (shows her what looks like a portrait of an old lady in a rocking chair) as established by our founder, Eliza M. Feyersied."
Candace," Well, that's a stupid rule."
Eliza M. Feyersied," (from the ""portrait"") You watch your mouth, little lady!"
Candace, Who puts a picture frame on a window?
Phineas, Is there anything Ferb and I can do to help? Candace really wants to see that concert.
Isabella," Candace, if-if you don't really want to be a Fireside Girl, then—"
Candace," No no no, I do, I do! I've gotta get to that concert!"
Isabella," Candace, you're not listening to me. You don't—"
Candace, Pfft! Forget it! I thought Fireside Girls were supposed to help people.
Eliza M. Feyersied, There is another way!
Isabella, You don't mean—
Eliza M. Feyersied," Yes! Isabella, please read Article 9, Section Charlie, Footnote 6."
Isabella," ""A troop leader may award full Fireside Girl status to any girl who has earned 50 patches."" But, Mrs. Feyersied, 50 patches in one day?! Is that even possible?!"
