characterName,line
Phineas," Hey, Ferb, I know what we're gonna do today! We're going to the Space Adventure film festival! It's gonna be awe-soooooommmme!!!"
Phineas,We can do better than that.
Candace," (growls, grunts) (hears Phineas continuing the music)"
Phineas, ♪ It's an adventure in space! ♪
Candace, (wears headphones that make music)
Irving," (from inside) According to my motion sensors, (cuts to him in his room at his computer, banging is heard outside) Phineas and Ferb are awake!"
Albert," (bangs down Irving's door) What did you lock your door for, Ir-ving?"
Irving," To keep you out, Al-bert!"
Albert, Older brothers should have 24-hour access to younger brothers' rooms. It's a good thing I used an old secret military technique I taught myself. (walks over to the computer) Who are those dorks?
Irving, Phineas and Ferb are not dorks; They are the coolest exponents of awesome stupefaction in the universe!
Albert," Yeah. Just because you put it on... (Close up on the computer, it reads ""Phineas and Ferb FANSITE"") your fansite doesn't mean it's true. (Back to them) And could we talk about all these pictures?"
Irving, What? Too obsessive.
Albert," Well, there is that, but I'm just saying your composition stinks. (looks at a picture) I can't even tell what this is a picture of."
Irving, (walks up) A solar-powered flock of mechanical hummingbirds. Phineas and Ferb built them.
Albert," Yeah, right. That's a hoax!"
Irving," How dare you! (walks to another picture) I suppose this cold-fusion powered merry-go-round they built was a hoax, too!"
Albert," I can tell a fake a mile away, little brother. They call me: ""The Truth Detector""."
Irving, It's NOT fake!! Phineas and Ferb really build these things! A-A-And I'll prove it to you!
Albert," Well, I have important older-brothery things to do right now. But if you give me the address, I'll meet you there at noon."
Major Monogram," Ah, Agent P. I've instituted a new short-order message technique. Listen carefully. (rings the bell) Doof is up, put a stop, curses on the side. Well, let's go, Agent P. My orders are backing up. Adam and Eve on a raft, rack em'."
Carl," (offscreen) Is that a mission, sir?"
Major Monogram," No, it's my lunch."
Lawrence," (walks up) Hello, boys. Are you ready for your space thrills marathon?"
Phineas," Dad, it's called Space Adventure. It's an adventure in space."
Announcer," ♪ Space Adventure, it's an adventure in space! ♪"
Irving, Hmm... (calling out) Phineas?! Ferb?!
Buford, (offscreen) They went to the movies.
Baljeet, No Phineas and Ferb today.
Irving, What am I gonna do?! Albert goes back to boarding school tomorrow! He'll think I'm a liar!
Baljeet, I have an idea. (Wipe to him later on) Phineas and Ferb made me this 3D projector. I can project one of their projects right into the yard here. Your brother will think they just built it.
